,text,label
0,"We 're living in times of absolute insanity , as I 'm pretty sure most people are aware . For a while , waking up every day to check the news seemed to carry with it the same feeling of panic and dread that action heroes probably face when they 're trying to decide whether to cut the blue or green wire on a ticking bomb -- except the bomb 's instructions long ago burned in a fire and imminent catastrophe seems the likeliest outcome . It 's hard to stay that on-edge for that long , though , so it 's natural for people to become inured to this constant chaos , to slump into a malaise of hopelessness and pessimism .",0
1,"In Libya today , there are countless number of Ghanaian and Nigerian immigrants . These are the two countries with key macroeconomic challenges including unemployment . Let 's tackle this issue from the root and not the fruit . Thank you",0
2,"White House press secretary Sean Spicer said that the focus of immigration actions would be illegal immigrants "" who have also otherwise violated our laws "" .",0
3,Council customers only signs would be displayed . Two of the spaces would be reserved for disabled persons and there would be five P30 spaces and eight P60 ones .,0
4,""" Just like we received migrants fleeing El Salvador and Guatemala in the ' 80s and ' 90s , just like we 've seen thousands of economic refugees , we started seeing Mexicans fleeing the violence in Ju ? rez and other parts of Mexico , "" says shelter director Ruben Garcia .",0
5,"To bring down high blood sugar levels , insulin needs to be taken . If you are the type who requires insulin during meal time , you will have to take correct doses of insulin in order to lower your blood glucose . Decision needs to be taken on when to inject it and how many times to inject . For this , you have to take the help of a health care professional .",0
6,"The European Union is making an historic mistake in its haste to conclude a refugee deal with Turkey , overlooking human rights violations that risk plunging the bloc 's largest membership candidate into civil war , said Selahattin Demirtas , leader of the nation 's most prominent pro-Kurdish party .",0
7,""" They 're either hopeless for being beaten by a 10-year-old , or if they beat him , they 're a big bully . That 's the joke . In reality he 's got a great game . """,0
8,"NUEVA ERA , Ilocos Norte - No family shall be homeless under the watch of the municipal government here , said town Mayor Aldrin Garvida .",0
9,"His spokesman said the Kremlin needed more information about the rebels ' decision . He also said the rebel statement came only after the Western-backed government in Kiev had declared it would press on with its military operation , implying that Ukraine was to blame for the rebels ' refusal to heed Putin .",0
10,A federal appeals court on Tuesday cleared the way for a 17-year-old immigrant held in custody in Texas to obtain an abortion . The full US Court of Appeals for the District of Columbia Circuit ruled 6-3 in favor of the teen . The decision overturned a ruling by a three-judge panel of the court that at least temporarily blocked her from getting an abortion . The Trump administration could still appeal the decision to the Supreme Court .,0
11,We find ourselves in this situation because people are living longer and a number of more local factors including that the number of people requiring nursing care in their care home is increasing coupled with the increased demands for council-funded care to vulnerable people within their own homes .,0
12,""" Ghostbusters "" is a resurrection of the 1984 hit film but this time the leads are women , not men .",0
13,"In the Government 's commitment to protect vulnerable groups , Najib in the 2017 Budget proposed financial assistance to poor families including General Assistance up to RM300 per month and Children Assistance up to RM450 per month .",0
14,"When my dad died unexpectedly in 2014 , he was putting the finishing touches to his forthcoming book , Climate Change and the Health of Nations . The book examines historical records and finds that human health is very sensitive to changes in climate . And drawing on history , he warns that the impacts of climatic change -- such as environmental disaster , increasing temperatures , and food insecurity -- will amplify infectious diseases , under-nutrition , and heat-related deaths , especially among vulnerable populations , such as children and forcibly displaced people .",0
15,"Apart from Pakistan and hosts England , Bangladesh disabled cricket team will also participate in the tournament . <h> Shahid Afridi bags 11 Man of the Match awards in T20Is ( Most by any player ) <h> Ab De villiers bagged a pair for the first time in his Test career <h> Super Gossip",0
16,"For those few seconds , humanity is free of its shackles and one glimpses hope amid the hopelessness .",0
17,""" Peace returned to Assam after both Hindus and Muslims agreed to accept 1971 as the cut-off year for citizenship . Today , the government wants to push the state towards unrest , "" he said at a convention organized by Krishak Mukti Sangram Samiti . He urged people who arrived in Assam before 1971 to launch a united movement and scuttle the Centre 's plan to regularize the entry of Hindu immigrants from Bangladesh .",0
18,"She said since 2014 , a total of 8000 intellectually disabled people in Ghana had been offered special training to enhance their integration into society .",0
19,"In short , reasons behind the operation look reasonable . The problem however , has been on the implementation side , much as those behind it talk about its success - on the grounds that , after all , thousands of illegal immigrants have left "" voluntarily "" to their countries of origin , while others have also been repatriated , as leaving the country under the given circumstances was not optional .",0
20,"Sisi 's lawyer , Grisel Ybarra , said the Cuban community is on edge amid the ongoing negotiations between Washington and Havana and the uncertainty about what renewed relations will mean for immigrants .",0
21,"Might this mean we 're more vulnerable to pain ? Dr. Francis Javier , who until recently headed the Pain Management Center at St. Luke 's Medical Center , is looking into the genetics here , comparing Filipinos of mixed ancestries to see if there are differences in the way pain medicines are broken down in the body .",0
22,""" It highlights that different communities respond to the issue of homelessness in different ways , "" Kneebone said .",0
23,""" The regional brands so far lag behind the global and big international Chinese handset players in 4G and they have looked vulnerable to failing to jump the generation successfully and lose their place . """,0
24,"The incidents deepened public doubts about Chancellor Angela Merkel 's decision to open Germany 's doors to refugees and migrants , whose numbers reached 1.1 million last year .",0
25,Some say that a review of the legislation of sex work helps to protect all involved in the services provided by these men and women .,0
26,""" I think that , you know , led to me being detained for five hours , as opposed to another Sudanese person who was detained for 30 hours and is in his seventies . So , I think that that 's one aspect of it . On the flip side , when I went to Terminal 4 , they did n't know my background , and I did feel -- you know , I guess the point that I actually want to make is , you know , I think this order is a reflection of a larger trend in this country to criminalise black people , to criminalise immigrants to criminalise Muslims . And as a black Muslim immigrant , I 'm really concerned about that . And I do think that the Somalis and Sudanese , people of African descent who are going to be affected by this , you know , I think they 're going to be treated differently , frankly . """,0
27,"This year the 4th of July falls on Monday , so you have a mere 24 hours to kick back and/or make the absolute most of your holiday before it 's back to the grind . With a time crunch like that , we can understand how it might seem hopeless , but never fear : Lifehacker is here ! Here are some tips to help you dive in headfirst and come out the other side of the holiday intact .",0
28,Farooqui said women 's groups were demanding fast-track courts to deal with rape and other crimes against women .,0
29,""" I have the right family book . Why do they say I 'm an immigrant and order me to pay 50,000 riel a year ? Why do n't they acknowledge me as a Cambodian citizen ? They just started this early this year . Why was n't this a thing before ? "" Mr. Yang Ros asked .",0
