text,label
It's really tasteless. No need to send gifts if you unfollow me.,0
"Why don't you do something practical? Isn't it a shame to be a ""good man"" just by saying two words?",0
"In reality, there are many more people who are not from single-parent families and beat their parents for being unfilial than those from single-parent families. I am so happy.]",0
"""I was trying to get more attention and I got everyone's attention unintentionally.""",0
"When I think of the recommendation to read People's Daily comments for civil service exams and postgraduate entrance exams, I feel that it is just like that, there is no hope. I mean there is no hope in every sense of the word.",0
"The premise of discussing whether bad laws are also laws and whether bad laws are illegal is to first determine the standard of ""evil"", whether this standard is ""morality"" or something else. Should the ""law"" that realizes the rule of law not only have good content, but also have the form of law? This is actually the scope of legal philosophy.",0
"I recall that two years ago when I was working on a project, I had a 10-yuan lunch box every day, which included chicken legs and meatballs, which was enough to fill my stomach.",0
"Not to mention a 14-year-old child, the epidemic has lasted for such a long time, how many of us adults have not collapsed? It’s just that we have elderly parents and young children to take care of, we dare not die, and we cannot afford to die!",0
Does the People's Daily recruit highly educated people just to write these disgusting things?,0
I also had my phone stolen by someone from Xinjiang. She reached into my pocket and pulled it back. I asked her why she took my phone! She gave me a fierce look. Two Xinjiang men walked out of the street. They were her accomplices. They walked towards me fiercely.,0
"Are your words very worldly-wise? Haha. The truth is that there is no worldly-wiseness. If you want to hear worldly-wiseness, don't ask for professional advice. There is basically no cardiovascular damage among the various adverse reactions of vaccines, except that the AstraZeneca vaccine has some effects. To be honest, I am very worried that there is no time window for vaccination when the infection is so severe. To put it bluntly, you have little need for professional advice, but a great need for psychological comfort. Goodbye.",0
Beware of foreign forces trying to get their salaries.,0
"If you don’t know the suffering, you won’t believe in gods or Buddhas.",0
"It's OK to use someone else's bank card and put the house and car in someone else's name, right?",0
"It is suggested to update the selection criteria for the minimum living allowance, or cancel it.",1
"This kind of marriage. In fact, it doesn't matter whether you take the children with you or not. You have lived like this. No, he is still struggling with whether to divorce or not.",3
I don’t believe lies either!,0
Caring for the homeless starts with me,0
"It can be broken, but it is difficult. You must heal yourself before getting married. You must be clear-headed, recognize your own shortcomings, face yourself and be reasonable. Many people cannot do it. Many people are waiting for the healing and redemption of their other half, but in fact, no one is obligated to redeem another person.",1
Many families fake divorces to save down payment on buying a house. It’s so sad.],1
Some people hate giving money to disadvantaged groups.,0
Liu Xin was originally the person Chen Shifeng wanted to kill.,0
"No, to be honest, I have always felt that children from single-parent families are better, maybe because the ones I know are all excellent.",0
"You are such a filial son. Your father doesn’t want you anymore, but you still attend his funeral!",0
"So you are your own god, pay your own salary",0
"I shouldn't advise you. If there are any problems in the future, they will blame you.",0
"Don't think it's easy, okay?",0
"I asked several doctors offline, but they didn't give me any advice, and told me to make my own decision.",0
Sick and hungry children can be saved by Sheda because they are caused by external factors. It is not the child's own problem.,1
"What I saw. A young couple. The girl is both well-off and the boy's parents divorced and each formed a new family. The boy grew up with his grandmother, who passed away before the wedding. At the wedding, his biological parents showed up and left in a hurry. The boy only had an aunt as a relative. It was pretty miserable.",1
"Who said this only happens online? I have seen several cases around me in Fujian Province, where wealthy people with connections receive subsistence allowances and government entrepreneurship subsidies for college students.",0
"If anyone in the village doesn’t like this situation, they can report it.",1
Maybe it's just because the divorce rate is too high [laugh cry],0
Is this a staged photo? This must be a staged photo.,0
It's so funny. Are those people who receive minimum living allowance but drive luxury cars low-income?,0
Street stalls are a way out for the lower class people.,0
There are two meetings every year. Why don't we legislate on this?,0
"It is very difficult to get the minimum living allowance for us. Various certificates are required. When I was in financial difficulty as a child, I asked my mother to ask the neighborhood committee for various certificates. If you don't have strong connections, they won't stamp it. My classmate's family drives a car and lives in a small Western-style building, but they receive the minimum living allowance every day.",0
"This is actually utilitarianism. If we get beyond utilitarianism, we don't need to think about the reasons, we can just go and save them.",1
"It’s true. When I was a child, my mother had surgery and I suffered burns and fractures. So she started to believe in Buddhism. I guess she wanted to find some spiritual comfort!",0
You need someone to comfort you when you fall? You are still a baby in your teens.,0
"Be self-reliant, give a thumbs up to such people.",0
"In fact, they are not necessarily single-parent families. Parents who are looking for a partner all hope that their children will find a family where the parents are loving and harmonious, but in fact, there are not many. Many couples who are not divorced are just making do. The men are all hands-off and have never participated in the growth of their children.",0
"No, I am like this. As long as you have a positive attitude and live a normal life, no one can hurt you.",0
"Really putting aside the facts, if you don't owe him wages, you can call the police and arrest him for fraud.",3
This is unacceptable without minimum living allowance.,0
Patriotism is the deepest and most lasting emotion in the world. It is the source of a person's morality and the foundation of his achievements. It is an honor to love the motherland and a shame to harm the motherland. It is an honor to serve the people and a shame to betray the people. It is an honor to love the motherland and a shame to harm the motherland. It is an honor to serve the people and a shame to betray the people. It is an honor to advocate science and a shame to be ignorant.,0
"Lack of effective medicine, especially for the elderly",0
Don't be angry. Let's discuss peacefully.,0
My relative’s doctor in my hometown said that most of the elderly people who left the hospital had never been vaccinated.,1
I think there are two extremes. One is what you said. The other is very concerned about the family. My husband is at the other extreme. He doesn't want to follow his parents' old path. He cherishes his family very much. He said he longs to have a family of his own and is willing to do everything to protect and love me and the children.,0
"The official media have now become the government's lackeys, and are thriving anyway.",0
"In the natural world of animals and beasts, there are no ethical considerations such as qj or genocide. Everything is for survival and reproduction. Therefore, if social Darwinism is only used as an explanatory theory to interpret the principles behind the development of some things, it can make sense to some extent, but it cannot be used as a radical normative theory that lacks moral and ethical considerations to constrain and guide society. Above.",0
tnnd is really totally out of touch with reality,0
"They are all afraid of retaliation. More than a decade ago, the public security in Guangzhou was very bad. We often saw a group of people stealing things on the bus. We didn't dare to say anything. We ran into the same group of people on the bus every day. How could we not be afraid of retaliation?",3
Why does it feel familiar? I seem to have seen this news a few months ago.,0
"No, our best senior was fired by a big company last year and has been looking for a job for a year. He is a single dog.]",0
"It has some influence, because after experiencing the breakup of the original family, one will assume in his mind that a marriage relationship is not an indestructible relationship, and he will not be particularly determined to continue with it.",1
"If both parents are alive and well and the person has a bad character, it will be double the troubles hahahahahahahahahahahahaha",3
"The comment I posted yesterday may have been deleted by the system. I would like to emphasize again that if Zhang Xianzhong and Li Zicheng dare to be included in the pension, they will all be added.",0
