,text,target
0,"The ADB report pointed out that Cambodian women in vulnerable employment , compared to paid employees , are less likely to have decent working conditions including adequate remuneration , social security or voice through representation in trade unions and other organizations .",0
1,"Islamic State theologians have issued an extremely detailed ruling on when "" owners "" of women enslaved by the extremist group can have sex with them , in an apparent bid to curb what they called violations in the treatment of captured females . Full Article",0
2,"The following day , Jordan says it will not be able to host a new wave of Syrian refugees and that the countries ' shared border will remain closed .",0
3,"Commissioned by the Singapore Hokkien Huay Kuan , the mural depicts the voyage of early Hokkien immigrants , and their early lives and struggles in the Telok Ayer and Amoy Street areas .",0
4,"Since then , through the continuous advocacy efforts of many agencies and committed individuals , the issue of extreme poverty has been brought on to the national policy agenda . However , at the local level , the day to day experience of extreme poor families continues to be one of marginalisation and exclusion from both essential public services and from the social protection transfers that are intended to be for their benefit .",0
5,""" Kiambu has enough resources to fund all activities , but the looming smuggling of disabled persons from Tanzania and other counties has devastated our activities , "" Nyokabi said .",0
6,"These illegal immigrants get their salary , they pay their rent and send the rest back to their countries , but our people they have to pay for their car , water , electricity and families . So it is sad to see how our government has been managing the economy ...",0
7,Kenyan national accused of raping disabled Australian woman,0
8,"According to Kofron , this technology is already fully operational . It is tested on the most easy "" targets "" -- the homeless , the poor and those who have little relatives and friends . In these experiments involved Federal agencies , States , intelligence services , private security services , a number of large American corporations , police and some city social services .",0
9,"Undoubtedly , strides have been made but too many Jamaicans remain poor and in a sense of hopelessness ; too many are unemployed and hungry . Cursing the IMF for its prescription is not going to get us very far . The IMF did not come knocking at Jamaica 's door ; we were at death 's door and went knocking .",1
10,"More than a million migrants have flooded into Germany since 2015 , when German Chancellor Angela Merkel opened borders to refugees , but the numbers have been dwindling .",0
11,"The attack took place on a Saturday night at a time when security had been relaxed . Pizza deliveries were ordered by phone about 20 times a week , the court heard , with unarmed soldiers collecting them at the barracks gate . These arrangements meant that troops were vulnerable to attack from terrorists who had monitored the base and carefully planned the incident .",0
12,His Holiness also called on immigrants to abide by the laws of the land in their adopted nations and to serve their communities to the best of their abilities .,0
13,Treacherous : The terrified refugees were floating in the Aegan sea at night,0
14,"Italy , one of six founding members of what became the European Union , has been stuck in a political quagmire since its inconclusive March 4 election , which was dominated by a struggling economy , the refugee crisis and illegal immigration .",0
15,""" It could not be more fitting that a quite different group which also enjoys the Queen 's unfailing interest and support - horses , of myriad breeds and colour - will join the 600 , sailors , soldiers , airmen and women who make up this evening 's celebration . """,0
16,"Talking to elected representatives , Shahbaz Sharif said that higher education is not merely legacy of the elite but the right of every child of Pakistan . He said that doors of higher education have been opened for the talented students of poor families through PEEF and not only Punjab but industrious students of underprivileged families from all over the country , including Sindh , Balochistan , Khyber Pakhtunkhwa , Gilgit-Baltistan and AJK are benefitting which nevertheless has promoted national solidarity and brotherhood .",0
17,"I think the living wage will help share around the spoils of globalisation a little more evenly . Cutting of the flow of immigrants will not solve the problem ( with effective full employment we need them ) but paying the poor/low skilled a decent wage may help to reduce the resentment they feel for so many things ( elites , government , EU , foreigners , immigrants ) .",1
18,"She said , on the commendations of the women wing , the PHF has barred women players of over thirty years of age from taking part in all national level hockey events to give ample opportunity to the young hockey talent to play hockey .",0
19,"Then 15 years old , he and his peers went canoeing and sailing , did orienteering and "" often got hopelessly lost "" , he recalled .",0
20,""" Fishermen are the main culprits . They coerce schoolgirls to have sex with them in return for fish , because most of them come from poor families that can not afford a meal . Sometimes they offer them nothing , "" says Ondari .",0
21,""" This week , during a legislature portfolio committee meeting , MEC Gift Van Staden conceded that the department has not managed to move beyond dealing with compliance issues , which he implied is to the detriment to our most vulnerable people , "" McGluwa said .",0
22,""" Though local people in these vulnerable seaside pockets widely believe that a ritual of this sort would save them from scourge of the sea , they said no to the practice this time . They deserve appreciation for giving up the cruel ritual , "" said Kendrapara Collector , Reghu G.",0
23,"Human remains in the former Walker 's Croft burial ground under Manchester Victoria station were exhumed when Victoria Station was redeveloped . Hundreds of poor families were buried under the rail platforms and buildings , many having fallen victim to Victorian cholera epidemics . Walker 's Croft was once a 19th century church and graveyard linked to a nearby Victorian workhouse , and the Victoria Arches were used as an air raid shelter during the Second World War . <h> BANK CHAMBERS OFF PORTLAND STREET",0
24,""" We have not been paid for the last two months , this money has assisted many poor families and we would like the governor not to abolish the program completely as it will affect many households , "" she told Sunday nation .",0
25,""" The PPP manifesto shall be a fundamental component of the coalition , "" he said if they were in need to opt for a coalition . "" Those who implement our manifesto we will prefer that ( party ) to make an alliance with , "" he said .",0
26,"Trump 's intention to build a wall at the US-Mexico border is the brainchild of President Bill Clinton . In fact , when Clinton proposed the wall and a crackdown on illegal immigrants in his 1995 State of the Union address , the Democrats gave him a standing ovation .",0
27,"With this in mind , Port International supports several projects each year to help local communities . Last year , for example , we invested in new housing after an earthquake in Ecuador made many families homeless . Since 2015 we are supporting a football project in Peru . This project aims to provide children with good leisure and prevent them from just hanging around the streets .",0
28,"The legislators were concerned with the diversion of Shs140billion in the contingency fund to the Parliamentary Commission yet government could not offer enough food relief to areas in need including districts of Isingiro , Rakai and Karamoja region .",0
29,Ghana athletics hopeless over gov't support - Dradozi,0
30,"According to the findings , the surprising aspect is that urban dwellers were found to be more vulnerable with regards to information , attitude , and beliefs concerning Ebola .",0
31,"Government has directed the authority concern to demolish most vulnerable 417 buildings in the capital Dhaka , port city Chittagong , Khulna and Sylhet within December .",0
32,"Pham Minh Hoang , a mathematics professor and occasional blogger , was n't tried and jailed . Instead he was stripped of his Vietnamese citizenship and exiled to France . Now , his family is split up ; his wife and disabled brother-in-law are trapped in Vietnam and Hoang in France with his daughter .",0
33,"Bishop Moss told Bishop Golding that the leaders of the church are constantly faced with economic pressures , social degradation and an abysmal cloud of hopelessness and are being constantly challenged by corrupt systems . However , he said God wants them to make Him known among the confusion .",0
34,Meanwhile a member of staff at Harlow College recently appealed for bedding after a student found himself homeless .,0
35,"A 20-year-old man indicted in an alleged immigrant smuggling scheme was under federal supervision when he led authorities in Texas on a high-speed chase and crashed an SUV , killing five of the 14 people inside , according to court records .",0
36,"Rohingya Muslim refugees from Myanmar have already drawn the sympathetic attention of the Indian Islamists , ' secularist ' political class , Muslim majority countries and also Human Right organisations all over the world . Unfortunately , without understanding the genesis of the problem they are criticising India for its stand to deport the Rohingya migrants in this country due to security reasons .",0
37,""" Clear evidence of outstanding miraculous occurrences began to arise . The lame began to walk , hopeless cancer patients were lifted from despair ...",1
38,"Consumer behavior is n't helping : If one does n't have the newest , most stylish , most feature-packed model , others would say that that person is hopelessly out of style . Besides , manufacturing products that are meant to be replaced after a short while is a viable business strategy .",0
39,""" I have the right family book . Why do they say I 'm an immigrant and order me to pay 50,000 riel a year ? Why do n't they acknowledge me as a Cambodian citizen ? They just started this early this year . Why was n't this a thing before ? "" Mr. Yang Ros asked .",0
40,"Therefore , for as long as open defecation continues in Kogi varsity , the female students will continue to be among the statistics of those vulnerable to risk of serious diseases .",0
41,"However , investigators contacted the families of the missing students and discovered that the missing women were actually at home with their families and had no knowledge of the alleged kidnapping and rape .",0
42,Rape had been used as a systematized instrument of war by the racist forces of Sri Lankan Army against female LTTE for physical and moral destruction and now the occupying Sri Lankan Army still continues to do so and so for Sri Lankan Army is concerned rape is perpetrated as a weapon of war . In all the videos and photos that have come into the public domain indicate that Eelam women and female LTTE captives were raped and shot in the head .,0
43,""" Haiti has come a long way to achieve the relative political and security stability it is now enjoying , but persistent economic uncertainties , which can result in social exclusion , particularly of youth and the most vulnerable , may undermine this progress , "" said Mr Lacroix .",0
44,"The men talked about leaving . They did n't integrate , much less assimilate . Most were desperate to reunite with their families back home . Thanks to President Ronald Reagan 's landmark Immigration Reform and Control Act , though , an estimated 2.7 million people were legalized beginning in 1986 , enabling Mexicans and other immigrants to roam freely in greater numbers in search of opportunities .",0
45,"The fair , which will feature fashion and beauty products , specialty items , arts and crafts , holiday trimmings , home decor , and food , is a showcase of women entrepreneurs who are providing jobs through their businesses .",0
46,"To-date , since they started , they have reached 13050 ( AGYW ) vulnerable individuals in 17 wards out of 19 wards in Kinondoni which makes a total coverage of 90 per cent of the area .",0
47,"The Interact Club is a service Oriented Organization . Its aim is "" Service before self "" . Mahatma Gandhi said "" You must be the change you wish to see in the world "" . The Interact Club provides you with the opportunity of making this change . It is all about community service , giving to those who are in need , being a part of change that brings happiness to you and much more to others . The Installation Ceremony of the Office Bearers of the Interact Club of Wycherley for the Academic year 2010-2011 was held during the end of last year at the High School Campus on Queen 's Road .",1
48,"I 've met countless women with rich , dark , gorgeous skin who steer clear of make-up , opting , instead , to invest in good mascara and shaping their eyebrows .",0
49,"After you applyWhen applying for either SSI or SSDI , the Social Security Administration will review your application and supporting documents and make a decision as to whether or not you qualify as disabled , and if you do , whether or not you 're eligible for that particular benefit program . The SSA will inform you of its decision in writing , and the letter it sends will show your new benefit information , or if you are ineligible , there will be information about how to appeal if you do n't agree with the decision .",0
50,"An irony of the victory of anti-globalisation forces in the United States presidential election and Brexit vote was that in areas where immigrants are scarce , such as Wyoming or Lincolnshire , residents are ideal targets for scaremongering and votes went to nativist politicians . By contrast , metropolitan areas , prosperous with more educated residents than in outlying areas , are less threatened by multicultural ideas and ethnicities .",0
51,"Terrorism is a grave threat to human rights ; conflicts are another . For evidence we have only to turn to the 2014 Country Reports for such nations as the Central African Republic , Iraq , Libya , Somalia , South Sudan , Sudan , Syria , and Ukraine , which has been victimized by its Russian neighbor . Today , an estimated 230 million people live in areas of overt strife , and we are experiencing a crisis in food security . The number of refugees has reached a record level . UNICEF called 2014 one of the most disastrous years ever for children . And in Yemen , Burundi , and elsewhere conflict and civil strife have grown even worse in 2015 .",0
52,Just over 80 per cent of NSW children are enrolled for 600 hours ' preschool in the year before kindergarten . Enrolments are 10 percentage points lower for children from poor families .,0
53,"Malawi 's Foreign Affairs and International Cooperation Minister , Ephraim Mganda Chiume , has called the allegations an exaggeration of the on going crack down on undocumented immigrants .",0
54,This is the third time such a large number of illegal immigrants have been arrested in the region within the scope of a few months .,0
55,About 10 residents of a compound house near cotton ginnery in Tumu in the Sissal East district of the Upper West region have been rendered homeless after fire gutted the house and reduced everything into ashes .,0
56,"The immediate challenge that the Red Cross hospital faced was the disabled medical facilities and pharmacies in the Ishinomaki zone , which led to the hospital being inundated with prescription needs .",0
57,"Estate agents Florence Gabriel and Ann O'Mahony of Sherry FitzGerald guide Poulgorm at ? 690,000 , and justifying that , say of the unmistakably 1970s built home that "" it was very contemporary at the time . While in need of complete modernisation now , the bones of the home are very good ... and the location is second to none . "" Indeed they are , and it is , and it 's on a one-third of an acre site too , so scope all around to go large , or go home .",0
58,"During a recent visit , a number of parked rickshaws , human haulers , and microbuses were seen in the playground without a gate . There were three shops and several offices inside the playground . The gallery also appeared to be in need of dire maintenance .",0
59,"Agriculture <h> Politics <h> World <h> Multimedia <h> More <h> Sudden attack led by monks on Rohingya refugees in Sri Lanka questioned <h> Sep 28 , 2017 05:29 AM GMT+0530 0 Comment(s)",0
60,"The mother of a seven-year-old girl in need of a heart transplant has expressed her anger at "" bureaucratic wrangling "" over the responsibility for ensuring air ambulance transport to London should a heart become available .",0
