,text,target
0,"Bangladesh says more than one million Rohingya refugees are living in squalid camps in the country 's south , having fled successive waves of violence in Myanmar 's Rakhine district .",0
1,"Weather conditions in the autumn and winter have a negative impact on the health and appearance of skin , besides the cold wrinkles are formed faster because the skin needs proper and constant care .",0
2,This was particularly important in the case of elderly and vulnerable people who were remaining in their homes and could potentially be targeted by scammers .,0
3,"Parents caring for their disabled children do not receive payment . In 2010 , the Human Rights Review Tribunal ruled a ministry policy to pay carers only if they were not related to the patient was discriminatory .",0
4,"She swam part of that crossing over to the island of Lesbos , helping other refugees who were in the water and were unable to swim .",0
5,"IFLR gathered the views of some of the leading financial services regulatory advisors following the February 3 order . And while it is clear that aspects of Dodd-Frank are vulnerable to repeal , there are clues leading to other priorities too .",0
6,"The revelation about the importation of plantain is not only enigmatic , but a confirmation of the hopelessness that Ghana has arrived under the drunken eyes of a feckless bunch of obstreperous con artists who want to apply cosmetics to make this curse appear like a blessing .",0
7,"I love it . It is so hopeless it will fit in well with the rubbish already there.PSThe drotts who design these spaces never consider transport or linking , From a visitors point of view how do you get from docklands/arts centre/The G/ Carlton .",0
8,""" He committed a serious sexual offence against a vulnerable victim , with lasting emotional repercussions . Also , his other offending demonstrates that he has been prepared to repeatedly contravene New Zealand 's laws , "" said the tribunal 's notes of counsel 's argument .",0
9,""" Specific objective of this programme is to stabilize the mortality rate and acute malnutrition among children under-five in refugee communities , increase to assets , especially for women , and strengthen coping capacities through training and asset creation activities among the vulnerable host population , assist out of school children in host communities to attend school , and improve nutritional status among targeted pregnant and lactating women and other vulnerable groups , "" stated WFP statement .",0
10,""" We are also selling ' nasi lemak ' online and the profit is used for charitable work in helping the homeless and giving free tuition to children from squatter areas and the People 's Housing Project ( PPR ) , "" she said . -- BERNAMA",0
11,"Italy 's new populist government will refuse to let a humanitarian boat carrying more than 600 refugees and migrants dock at any of its ports and has asked the tiny Mediterranean country of Malta to open its doors to the vessel , according to media reports . <h> Twitter <h> Most Popular",0
12,""" Some come from poor families and then you find swimming in millions and they lose focus , then they fizz out from football altogether , "" he said , making it clear that to have a Paul Pogba-esque success , one needs to work that much harder and not get influenced easily especially at this age and that too coming from Africa .",1
13,"Meanwhile , the immigrant population living in Latin America and the Caribbean is estimated at 7.6 million people , which is the equivalent of just 1.1 per cent of the region 's total . Of those , a majority were born in other countries of the region ( intraregional migration ) .",0
14,"The practice originally emerged as a way for poor families to deal with deformed or disabled children that they can not look after . These families approach village elders known as concoction men and inform them that they suspect their child to be a so-called spirit child . The concoction man then takes the father of the child to visit a soothsayer who confirms whether or not the child is truly evil , without ever actually laying eyes on them .",0
15,Sonya has clear memories of what looked like a slum when she first saw the area around Royal Park as a child migrant in the 1950s .,0
16,"Foreign trips , pent houses , salaries equivalents judges ( even though no o/l ) , best food for nothing , at the end a hefty pension while , helpless , voiceless simple simon squeezing to death , to maintain this hopeless 225",0
17,"Riss says he wanted to depict the hypocrisy of Europeans ' reaction to the crisis as well as the "" disenchantment "" awaiting the migrants reaching the continent 's shores alive .",0
18,"Intimidating guards paced in front of them as refugees chanted "" close down offshore "" holding up their crossed arms .",0
19,"Some residents accuse officials in Kensington and Chelsea , one of London 's richest boroughs , of ignoring their safety concerns because the publicly owned tower was home to a largely immigrant and working-class population .",0
20,"Wale Oyejide is the Nigerian designer behind the Ikir ? Jones label . He uses textile and apparel design to convey stories about immigrant populations to the Western world . His designs fuse tailored suits and accessories with sampled art history designs . He inserts African figures into the context of foreign art history traditions , in this case European and Japanese . In 2016 , Ikir ? Jones tweeted at the official Marvel handle about handling the wardrobe for the Black Panther and now it 's a reality we 're all seeing . We see Chadwick Boseman as T'Challa in an Ikir ? Jones ' ensemble in what appears to be a meeting at the UN .",0
21,"Private helicopter services lack surveillance <h> Private helicopter service , introduced in 1999 in the country , is rising day by day , although the sector is still in need of strong surveillance of the regulatory authority",0
22,I 've been bothered by that moment since then . Why did n't I help him ? I had a few hundred dollars with me and could have spared it . I felt ashamed when I got back home because I knew that my own selfish pride got in my way of helping someone desperately in need .,1
23,"Schmidt started Capital Factory to meet the needs of immigrant entrepreneurs in America , and encourage them to choose this city in the southern USA , emerging as one of the hottest innovation and start-up spots in the country .",0
24,"Opposed to original French names , e.g. Didier Deschamps ( the coach was captain of the winning 1998 French team ) , and one of my personal favourites , Antoine Griezmann . His long kicks bring to mind the legendary David Beckham who bent balls , artistically . But Griezmann is also an immigrant with ties to Germany ( note the surname ) and Portugal ( maternal side ) ....",0
25,"Ian Neilson , mayoral committee member for finance , said more than R4m would be allocated to social development to improve service delivery in "" our more vulnerable communities "" .",0
26,"Parties to the Protocol enjoy a wide spectrum of benefits extending from the maintenance of national security , to increasing fiscal revenues and most importantly protecting the health of the population , particularly the vulnerable groups .",0
27,"In some areas visited by the Constitutional Review Commission in Tanga , several women who turned up at meetings to air their views on the constitutional changes said they wanted review of the law on inheritance , divorce and the protection of widows .",0
28,"Honesty is a rare trait in bureaucracy . And not so desirable if one wants to survive and flourish in a system that is largely compromised . Those hopelessly stubborn about staying honest learn this the hard way . Like K Mathai , for example ! The Karnataka Administrative Service officer , who blew the whistle on scam after scam and rather innocently swears by transparency and accountability , was transferred 27 times in a 10-year career . He says six of those transfers happened in a span of four months .",0
